code,ticker_tse,company_name,sector,date,close,volume,price_file
6098,6098.T,"RECRUIT HOLDINGS CO., LTD.",Services,2026-03-25,6416.00,4694500,data/prices/stooq/jp/6098.csv
6103,6103.T,OKUMA CORP.,Machinery,2026-03-25,3810.00,420800,data/prices/stooq/jp/6103.csv
6113,6113.T,"AMADA CO., LTD.",Machinery,2026-03-25,2320.00,1553300,data/prices/stooq/jp/6113.csv
6146,6146.T,DISCO CORP.,Precision Instruments,2026-03-25,67980.00,2198600,data/prices/stooq/jp/6146.csv
6178,6178.T,"JAPAN POST HOLDINGS CO., LTD.",Services,2026-03-25,1858.50,4654700,data/prices/stooq/jp/6178.csv
6273,6273.T,SMC CORP.,Machinery,2026-03-25,65230.00,205400,data/prices/stooq/jp/6273.csv
6301,6301.T,KOMATSU LTD.,Machinery,2026-03-25,6428.00,3504500,data/prices/stooq/jp/6301.csv
6302,6302.T,"SUMITOMO HEAVY IND., LTD.",Machinery,2026-03-25,5179.00,811100,data/prices/stooq/jp/6302.csv
6305,6305.T,"HITACHI CONST. MACH. CO., LTD.",Machinery,2026-03-25,5531.00,720100,data/prices/stooq/jp/6305.csv
6326,6326.T,KUBOTA CORP.,Machinery,2026-03-25,2535.00,4941700,data/prices/stooq/jp/6326.csv
6361,6361.T,EBARA CORP.,Machinery,2026-03-25,4848.00,3352000,data/prices/stooq/jp/6361.csv
6367,6367.T,"DAIKIN INDUSTRIES, LTD.",Machinery,2026-03-25,19765.00,1166800,data/prices/stooq/jp/6367.csv
6471,6471.T,NSK LTD.,Machinery,2026-03-25,1182.00,1599300,data/prices/stooq/jp/6471.csv
6472,6472.T,NTN CORP.,Machinery,2026-03-25,338.40,2166300,data/prices/stooq/jp/6472.csv
6473,6473.T,JTEKT CORP.,Machinery,2026-03-25,1741.00,1134500,data/prices/stooq/jp/6473.csv
6479,6479.T,MINEBEA MITSUMI INC.,Electric Machinery,2026-03-25,2732.00,2497700,data/prices/stooq/jp/6479.csv
6501,6501.T,"HITACHI, LTD.",Electric Machinery,2026-03-25,4881.00,13127600,data/prices/stooq/jp/6501.csv
6503,6503.T,MITSUBISHI ELECTRIC CORP.,Electric Machinery,2026-03-25,5539.00,5387700,data/prices/stooq/jp/6503.csv
6504,6504.T,"FUJI ELECTRIC CO., LTD.",Electric Machinery,2026-03-25,11395.00,791200,data/prices/stooq/jp/6504.csv
6506,6506.T,YASKAWA ELECTRIC CORP.,Electric Machinery,2026-03-25,4510.00,2218400,data/prices/stooq/jp/6506.csv
6526,6526.T,SOCIONEXT INC.,Electric Machinery,2026-03-25,1866.00,6120400,data/prices/stooq/jp/6526.csv
6532,6532.T,"BAYCURRENT, INC.",Services,2026-03-25,4543.00,1164500,data/prices/stooq/jp/6532.csv
6645,6645.T,OMRON CORP.,Electric Machinery,2026-03-25,4472.00,946500,data/prices/stooq/jp/6645.csv
6674,6674.T,GS YUASA CORP.,Electric Machinery,2026-03-25,5211.00,710800,data/prices/stooq/jp/6674.csv
6701,6701.T,NEC CORP.,Electric Machinery,2026-03-25,4042.00,5238900,data/prices/stooq/jp/6701.csv
6702,6702.T,FUJITSU LTD.,Electric Machinery,2026-03-25,3351.00,8464100,data/prices/stooq/jp/6702.csv
6723,6723.T,RENESAS ELECTRONICS CORP.,Electric Machinery,2026-03-25,2424.00,10076500,data/prices/stooq/jp/6723.csv
6724,6724.T,SEIKO EPSON CORP.,Electric Machinery,2026-03-25,1985.00,1130600,data/prices/stooq/jp/6724.csv
6752,6752.T,PANASONIC HOLDINGS CORP.,Electric Machinery,2026-03-25,2630.00,9213600,data/prices/stooq/jp/6752.csv
6753,6753.T,SHARP CORP.,Electric Machinery,2026-03-25,580.50,2633200,data/prices/stooq/jp/6753.csv
6758,6758.T,SONY GROUP CORP.,Electric Machinery,2026-03-25,3266.00,15502800,data/prices/stooq/jp/6758.csv
6762,6762.T,TDK CORP.,Electric Machinery,2026-03-25,2089.50,7848500,data/prices/stooq/jp/6762.csv
6770,6770.T,"ALPS ALPINE CO., LTD.",Electric Machinery,2026-03-25,2203.50,1154600,data/prices/stooq/jp/6770.csv
6841,6841.T,YOKOGAWA ELECTRIC CORP.,Electric Machinery,2026-03-25,5158.00,1133700,data/prices/stooq/jp/6841.csv
6857,6857.T,ADVANTEST CORP.,Electric Machinery,2026-03-25,23425.00,10638400,data/prices/stooq/jp/6857.csv
6861,6861.T,KEYENCE CORP.,Electric Machinery,2026-03-25,58010.00,520900,data/prices/stooq/jp/6861.csv
6902,6902.T,DENSO CORP.,Electric Machinery,2026-03-25,1921.50,6414000,data/prices/stooq/jp/6902.csv
6920,6920.T,LASERTEC CORP.,Electric Machinery,2026-03-25,33410.00,3641600,data/prices/stooq/jp/6920.csv
6952,6952.T,"CASIO COMPUTER CO., LTD.",Electric Machinery,2026-03-25,1449.50,1274100,data/prices/stooq/jp/6952.csv
6954,6954.T,FANUC CORP.,Electric Machinery,2026-03-25,5914.00,3147600,data/prices/stooq/jp/6954.csv
6963,6963.T,"ROHM CO., LTD.",Electric Machinery,2026-03-25,3337.00,5773600,data/prices/stooq/jp/6963.csv
6971,6971.T,KYOCERA CORP.,Electric Machinery,2026-03-25,2454.50,3785500,data/prices/stooq/jp/6971.csv
6976,6976.T,"TAIYO YUDEN CO., LTD.",Electric Machinery,2026-03-25,4108.00,1601200,data/prices/stooq/jp/6976.csv
6981,6981.T,"MURATA MANUFACTURING CO., LTD.",Electric Machinery,2026-03-25,3660.00,7462600,data/prices/stooq/jp/6981.csv
6988,6988.T,NITTO DENKO CORP.,Chemicals,2026-03-25,3210.00,2826800,data/prices/stooq/jp/6988.csv
7004,7004.T,KANADEVIA CORP.,Machinery,2026-03-25,1023.00,874100,data/prices/stooq/jp/7004.csv
7011,7011.T,"MITSUBISHI HEAVY IND., LTD.",Machinery,2026-03-25,4547.00,23369500,data/prices/stooq/jp/7011.csv
7012,7012.T,"KAWASAKI HEAVY IND., LTD.",Shipbuilding,2026-03-25,15105.00,3881200,data/prices/stooq/jp/7012.csv
7013,7013.T,IHI CORP.,Machinery,2026-03-25,3510.00,13676600,data/prices/stooq/jp/7013.csv
7186,7186.T,"YOKOHAMA FINANCIAL GROUP, INC.",Banking,2026-03-25,1436.00,3741600,data/prices/stooq/jp/7186.csv
7201,7201.T,"NISSAN MOTOR CO., LTD.",Automobiles & Auto parts,2026-03-25,348.40,24040900,data/prices/stooq/jp/7201.csv
7202,7202.T,ISUZU MOTORS LTD.,Automobiles & Auto parts,2026-03-25,2359.50,2198400,data/prices/stooq/jp/7202.csv
7203,7203.T,TOYOTA MOTOR CORP.,Automobiles & Auto parts,2026-03-25,3338.00,18556700,data/prices/stooq/jp/7203.csv
7205,7205.T,"HINO MOTORS, LTD.",Automobiles & Auto parts,2026-03-25,416.00,3304400,data/prices/stooq/jp/7205.csv
7211,7211.T,MITSUBISHI MOTORS CORP.,Automobiles & Auto parts,2026-03-25,344.40,9048800,data/prices/stooq/jp/7211.csv
7261,7261.T,MAZDA MOTOR CORP.,Automobiles & Auto parts,2026-03-25,1116.00,6275100,data/prices/stooq/jp/7261.csv
7267,7267.T,"HONDA MOTOR CO., LTD.",Automobiles & Auto parts,2026-03-25,1314.00,20453000,data/prices/stooq/jp/7267.csv
7269,7269.T,SUZUKI MOTOR CORP.,Automobiles & Auto parts,2026-03-25,1943.00,6336900,data/prices/stooq/jp/7269.csv
7270,7270.T,SUBARU CORP.,Automobiles & Auto parts,2026-03-25,2585.00,4096700,data/prices/stooq/jp/7270.csv
7272,7272.T,"YAMAHA MOTOR CO., LTD.",Automobiles & Auto parts,2026-03-25,1110.00,4972700,data/prices/stooq/jp/7272.csv
7453,7453.T,"RYOHIN KEIKAKU CO., LTD.",Retail,2026-03-25,3485.00,4136600,data/prices/stooq/jp/7453.csv
7731,7731.T,NIKON CORP.,Precision Instruments,2026-03-25,1958.00,1022100,data/prices/stooq/jp/7731.csv
7733,7733.T,OLYMPUS CORP.,Precision Instruments,2026-03-25,1435.50,6443100,data/prices/stooq/jp/7733.csv
7735,7735.T,"SCREEN HOLDINGS CO., LTD.",Electric Machinery,2026-03-25,19745.00,1021200,data/prices/stooq/jp/7735.csv
7741,7741.T,HOYA CORP.,Precision Instruments,2026-03-25,28420.00,991500,data/prices/stooq/jp/7741.csv
7751,7751.T,CANON INC.,Electric Machinery,2026-03-25,4400.00,2628000,data/prices/stooq/jp/7751.csv
7752,7752.T,"RICOH CO., LTD.",Electric Machinery,2026-03-25,1395.50,1897200,data/prices/stooq/jp/7752.csv
7832,7832.T,BANDAI NAMCO HOLDINGS INC.,Other Manufacturing,2026-03-25,4080.00,2163900,data/prices/stooq/jp/7832.csv
7911,7911.T,TOPPAN HOLDINGS INC.,Other Manufacturing,2026-03-25,4729.00,911100,data/prices/stooq/jp/7911.csv
7912,7912.T,"DAI NIPPON PRINTING CO., LTD.",Other Manufacturing,2026-03-25,2936.50,1496700,data/prices/stooq/jp/7912.csv
7951,7951.T,YAMAHA CORP.,Other Manufacturing,2026-03-25,1130.00,2095200,data/prices/stooq/jp/7951.csv
7974,7974.T,"NINTENDO CO., LTD.",Services,2026-03-25,8980.00,11367400,data/prices/stooq/jp/7974.csv
8001,8001.T,ITOCHU CORP.,Trading Companies,2026-03-25,2078.50,12985400,data/prices/stooq/jp/8001.csv
8002,8002.T,MARUBENI CORP.,Trading Companies,2026-03-25,5610.00,5783700,data/prices/stooq/jp/8002.csv
8015,8015.T,TOYOTA TSUSHO CORP.,Trading Companies,2026-03-25,6229.00,2173000,data/prices/stooq/jp/8015.csv
8031,8031.T,"MITSUI & CO., LTD.",Trading Companies,2026-03-25,6253.00,7598100,data/prices/stooq/jp/8031.csv
